PCode,REGION,DISTRICT,Code_CSREF,STRUCTURE,PCODE2,TYPE,DATE OUVERTURE,NBRE VILLAGE,DISTANCE,ACCESSIBILITE,Source,obs,Longitude,Latitude
ML07R02C002,GAO,ANSONGO,ML07R02,BAZI GOURMA,ML07R02C002,CSCOM,8-Mar-2006,3,65,OUI,OMS Survey,,0.431417,15.699706
ML07R02C003,GAO,ANSONGO,ML07R02,BAZI HAOUSSA,ML07R02C003,CSCOM,30-Jun-2004,4,10,OUI,OMS Survey,,0.484025364,15.69588041
ML02R08C003,KOULIKORO,NARA,ML02R08,BEDIATT,ML02R08C003,CSCOM,1-Jan-2007,3,25,,OMS Survey,,-8.48377,15.27129
ML02R04C001,KOULIKORO,FANA,ML02R04,BELEKO SOBA,ML02R04C001,CSCOM,15-May-1997,24,75,OUI,OMS Survey,,-6.407936526,12.47505547
ML06R01C006,TOMBOUCTOU,TOMBOUCTOU,ML06R01,BELLAFARANDI,ML06R01C006,CSCOM,1-May-2005,4,0,OUI,OMS Survey,,-2.43288,17.49199
ML01R03C001,KAYES,DIEMA,ML01R03,BEMA,ML01R03C001,CSCOM,1-May-1998,11,65,OUI,OMS Survey,,-9.351237903,15.03956597
ML05R02C002,MOPTI,BANDIAGARA,ML05R02,BENDIELY,ML05R02C002,CSCOM,1-May-2006,6,15,NON,OMS Survey,,-3.59523,14.4293
ML01R02C003,KAYES,OUSSOUBIDIAGNA,ML01R02,BENDOUGOU,ML01R02C003,CSCOM,1-May-2004,1,165,OUI,OMS Survey,,-10.26684753,14.55444885
ML01R05C004,KAYES,KITA,ML01R05,BENDOUGOUBA,ML01R05C004,CSCOM,1-Jul-2000,14,12,OUI,OMS Survey,,-9.395555529,13.05694485
ML02R09C003,KOULIKORO,OUELESSEBOUGOU,ML02R09,BENEKO,ML02R09C003,CSCOM,1-Jun-2005,8,15,OUI,OMS Survey,,-7.6998,12.01818
ML04R08C001,SEGOU,TOMINIAN,ML04R08,BENENA,ML04R08C001,CSCOM,11-Sep-2000,11,35,OUI,OMS Survey,,-4.365089774,13.11687985
ML06R04C003,TOMBOUCTOU,GOURMA-RHAROUS,ML06R04,BENGUEL,ML06R04C003,CSCOM,1-Aug-1999,24,30,OUI,OMS Survey,,-2.157963,16.811236
ML04R03C001,SEGOU,BLA,ML04R03,BENGUENE,ML04R03C001,CSCOM,26-Sep-2005,6,26,OUI,OMS Survey,,-5.855828525,12.81055835
ML01R05C005,KAYES,KITA,ML01R05,BENKADI FOUNIA,ML01R05C005,CSCOM,1-Jul-2008,14,15,OUI,OMS Survey,,-9.476522529,12.90008235
ML08R02C005,BAMAKO,COMMUNE2,ML08R02,BENKADY,ML08R02C005,CSCOM,17-Mar-1993,4,2,OUI,OMS Survey,,-7.95827,12.64229
ML07R02C004,GAO,ANSONGO,ML07R02,BENTIA,ML07R02C004,CSCOM,1-Jan-2001,7,70,OUI,OMS Survey,,0.755821,15.33989303
ML06R01C007,TOMBOUCTOU,TOMBOUCTOU,ML06R01,BER,ML06R01C007,CSCOM,1-Jul-1999,11,60,OUI,OMS Survey,,-2.525245272,16.83747723
ML07R01C003,GAO,GAO,ML07R01,BERRAH,ML07R01C003,CSCOM,1-Mar-2005,2,4,OUI,OMS Survey,,-0.022165645,16.3278364
,SEGOU,MACINA,,BERTHA,0,CSCOM,,,,,Cluster Nutrition,,-5.193044,13.715946
ML01R07C002,KAYES,YELIMANE,ML01R07,BILADJI0I,ML01R07C002,CSCOM,1-May-2002,5,17,NON,OMS Survey,,-10.65142015,15.21108035
ML02R08C004,KOULIKORO,NARA,ML02R08,BINEOU NIAKATE,ML02R08C004,CSCOM,1-Jan-1997,3,225,OUI,OMS Survey,,-8.52213,15.40136
ML03R07C001,SIKASSO,SELINGUE,ML03R07,BINKO,ML03R07C001,CSCOM,1-Feb-1999,6,7,OUI,OMS Survey,,-8.243,11.64
ML06R03C002,TOMBOUCTOU,GOUNDAM,ML06R03,BINTAGOUNGOU,ML06R03C002,CSCOM,1-Jan-2001,13,55,OUI,OMS Survey,,-3.733099773,16.7351551
ML04R03C002,SEGOU,BLA,ML04R03,BLA CENT0AL,ML04R03C002,CSCOM,10-Aug-2002,16,2,NON,OMS Survey,,-5.76066615,12.94426447
ML04R03C000,SEGOU,BLA,ML04R03,BLA CSREF,ML04R03C000,CSRef,1-Jan-2011,0,85,,OMS Survey,,-5.76066615,12.94426447
ML03R02C004,SIKASSO,BOUGOUNI,ML03R02,BLADIE-TIEMALA,ML03R02C004,CSCOM,1-Sep-2011,5,65,OUI,OMS Survey,,-7.325515402,10.92324535
ML03R01C002,SIKASSO,SIKASSO,ML03R01,BLENDIO,ML03R01C002,CSCOM,1-Jan-1996,14,100,NON,OMS Survey,,-6.346046651,11.60866235
ML03R06C002,SIKASSO,KOUTIALA,ML03R06,BOBOLA ZANGASSO,ML03R06C002,CSCOM,1-Jan-1998,6,,,OMS Survey,,-4.992945899,12.5341631
ML04R03C003,SEGOU,BLA,ML04R03,BOGONI,ML04R03C003,CSCOM,1-Mar-1998,5,45,OUI,OMS Survey,,-5.50772,12.78117
ML04R06C001,SEGOU,NIONO,ML04R06,BOH,ML04R06C001,CSCOM,1-Feb-1999,9,37,OUI,OMS Survey,,-6.115215025,14.08156947
ML04R02C003,SEGOU,BAROUELI,ML04R02,BOIDIE,ML04R02C003,CSCOM,2-May-1998,12,15,OUI,OMS Survey,,-6.871627776,13.21270547
ML02R03C002,KOULIKORO,DIOILA,ML02R03,BOLE,ML02R03C002,CSCOM,1-Jun-1996,3,110,OUI,OMS Survey,,-7.03022,12.02912
ML04R06C002,SEGOU,NIONO,ML04R06,BOLIBANA B6,ML04R06C002,CSCOM,1-Jan-1994,19,30,OUI,OMS Survey,,-5.928055775,14.42444422
,MOPTI,KORO,ML05R06,BONDO,0,CSCOM,,,,,Cluster Nutrition,,-3.00567,14.130609
ML03R06C003,SIKASSO,KOUTIALA,ML03R06,BONGOSSO,ML03R06C003,CSCOM,1-Jan-2005,6,53,OUI,OMS Survey,,-5.189162025,12.66657547
ML05R04C001,MOPTI,DJENNE,ML05R04,BONGUEL,ML05R04C001,CSCOM,1-Jun-2010,10,90,OUI,OMS Survey,,-4.135509968,14.08683968
ML05R05C001,MOPTI,DOUENTZA,ML05R05,BONI,ML05R05C001,CSCOM,15-Oct-1996,28,100,OUI,OMS Survey,,-2.222617647,15.0713206
ML08R02C006,BAMAKO,COMMUNE2,ML08R02,BONIABA,ML08R02C006,CSCOM,11-Nov-1993,3,5,OUI,OMS Survey,,-7.98144,12.63492
ML05R05C002,MOPTI,DOUENTZA,ML05R05,BORE,ML05R05C002,CSCOM,10-Sep-1996,36,65,OUI,OMS Survey,,-3.487251523,15.12913372
ML06R01C008,TOMBOUCTOU,TOMBOUCTOU,ML06R01,BORI,ML06R01C008,CSCOM,26-Jun-2000,7,45,OUI,OMS Survey,,-2.795579,16.694943
ML05R02C003,MOPTI,BANDIAGARA,ML05R02,BORKO,ML05R02C003,CSCOM,1-Oct-1999,5,86,OUI,OMS Survey,,-3.354779898,14.94989972
,SIKASSO,Kadiolo,,BOROGOBA,0,CSCOM,,,,,Cluster Nutrition,,-5.758168,10.685704
ML02R02C003,KOULIKORO,BANAMBA,ML02R02,BORON,ML02R02C003,CSCOM,1-Jan-1996,20,65,NON,OMS Survey,,-7.512675527,14.0094106
ML02R08C005,KOULIKORO,NARA,ML02R08,BOUDJIGIRE,ML02R08C005,CSCOM,1-Jan-2005,11,80,OUI,OMS Survey,,-6.56509,14.82914
ML01R05C006,KAYES,KITA,ML01R05,BOUDOFO,ML01R05C006,CSCOM,1-Jul-2009,8,5,NON,OMS Survey,,-9.54984,13.2471
ML01R05C007,KAYES,KITA,ML01R05,BOUGARIBAYA,ML01R05C007,CSCOM,1-Jan-2002,8,55,OUI,OMS Survey,,-9.844044529,12.81375372
,TOMBOUCTOU,Tombouctou,,BOUGBEA,0,CSCOM,,,,,Cluster Nutrition,,-2.668055556,18.54222222
ML02R04C002,KOULIKORO,FANA,ML02R04,BOUGOUCOURALA,ML02R04C002,CSCOM,1-Oct-2010,6,,,OMS Survey,,-6.361367401,12.38139629
ML03R05C001,SIKASSO,KOLONDIEBA,ML03R05,BOUGOULA,ML03R05C001,CSCOM,1-Aug-2006,6,45,OUI,OMS Survey,,-6.911521,10.786084
,SIKASSO,Sikasso,,BOUGOULA HAMEAU,0,CSCOM,,,,,Cluster Nutrition,,-5.67795,11.314505
ML03R02C000,SIKASSO,BOUGOUNI,ML03R02,BOUGOUNI CSREF,ML03R02C000,CSRef,1-Jan-1984,0,165,,OMS Survey,,-7.48323,11.41769
ML03R02C005,SIKASSO,BOUGOUNI,ML03R02,BOUGOUNI EST,ML03R02C005,CSCOM,1-Jan-1994,27,1,OUI,OMS Survey,,-7.477416001,11.41122037
ML03R02C006,SIKASSO,BOUGOUNI,ML03R02,BOUGOUNI OUEST,ML03R02C006,CSCOM,1-Jan-2007,10,3,OUI,OMS Survey,,-7.491358944,11.41449688
ML03R02C007,SIKASSO,BOUGOUNI,ML03R02,BOUGOUNI SUD,ML03R02C007,CSCOM,1-Oct-1999,7,1,OUI,OMS Survey,,-7.480493497,11.40385884
ML04R03C004,SEGOU,BLA,ML04R03,BOUGOURA,ML04R03C004,CSCOM,1-Jan-2010,4,,,OMS Survey,,-5.28778,12.97694
ML02R08C006,KOULIKORO,NARA,ML02R08,BOULAL,ML02R08C006,CSCOM,1-Jan-1997,5,150,OUI,OMS Survey,,-8.426847653,15.07158022
ML07R01C004,GAO,GAO,ML07R01,BOULGOUNDIE,ML07R01C004,CSCOM,1-Jan-1998,1,6,OUI,OMS Survey,,-0.07235427,16.21937435
ML05R04C001,MOPTI,DJENNE,ML05R04,BOUNGUEL,ML05R04C001,CSCOM,,,,,OMS Survey,,-4.135509968,14.08683968
ML04R07C002,SEGOU,SAN,ML04R07,BOUNOUMBA,ML04R07C002,CSCOM,27-Jul-2007,8,60,,OMS Survey,,-5.04667,13.05167
ML01R01C006,KAYES,KAYES,ML01R01,BOUNTINGUISSE,ML01R01C006,CSCOM,17-Nov-1998,4,110,NON,OMS Survey,,-11.65236841,15.14616319
ML03R09C002,SIKASSO,YOROSSO,ML03R09,BOURA,ML03R09C002,CSCOM,1-Jan-2000,30,30,OUI,OMS Survey,,-4.544745024,12.40767147
,KIDAL,ABEIBARA,ML09R02,BOUREISSA,0,CSCOM,,,,,Cluster Nutrition,,2.249008,20.025418
ML07R03C006,GAO,BOUREM,ML07R03,BOUREM CENTRAL,ML07R03C006,CSCOM,14-Jan-2010,6,50,OUI,OMS Survey,,-0.352034145,16.94971698
ML07R03C000,GAO,BOUREM,ML07R03,BOUREM CSREF,ML07R03C000,CSRef,1-Jan-2011,0,95,,OMS Survey,,-0.352034145,16.94971698
ML06R01C009,TOMBOUCTOU,TOMBOUCTOU,ML06R01,BOUREM INALY,ML06R01C009,CSCOM,1-Jul-1999,5,25,OUI,OMS Survey,,-2.851518272,16.68635235
ML06R02C002,TOMBOUCTOU,DIRE,ML06R02,BOUREM-SIDI-AMAR,ML06R02C002,CSCOM,1-Dec-2001,10,15,OUI,OMS Survey,,-3.333600023,16.36669923
ML04R01C003,SEGOU,SEGOU,ML04R01,BOUSSIN,ML04R01C003,CSCOM,1-Apr-2006,15,50,NON,OMS Survey,,-5.937287775,13.50625472
ML07R01C005,GAO,GAO,ML07R01,BOYA,ML07R01C005,CSCOM,15-Jan-2000,3,75,OUI,OMS Survey,,0.225762389,15.86486135
ML06R05C005,TOMBOUCTOU,NIAFUNKE,ML06R05,BOYO,ML06R05C005,CSCOM,1-Jan-2006,12,85,NON,OMS Survey,,-3.361295398,15.7116091
ML03R07C002,SIKASSO,SELINGUE,ML03R07,CARRIERE,ML03R07C002,CSCOM,8-Mar-2003,6,3,OUI,OMS Survey,,-8.184485521,11.54782929
ML05R01C002,MOPTI,MOPTI,ML05R01,CELLAL-NATI,ML05R01C002,CSCOM,1-Jan-2007,3,3,OUI,OMS Survey,,-4.151527844,14.49164757
,SIKASSO,Sikasso,,CENTRE JEAN MARIE CISSE,0,CSCOM,,,,,Cluster Nutrition,,-5.66654,11.31755
ML07R03C007,GAO,BOUREM,ML07R03,CHABARIA,ML07R03C007,CSCOM,2-Oct-2000,6,45,OUI,OMS Survey,,-0.63542452,16.91979923
ML07R01C006,GAO,GAO,ML07R01,CHATEAU,ML07R01C006,CSCOM,1-Jan-2000,2,2,OUI,OMS Survey,,-0.027067825,16.26652055
,TOMBOUCTOU,Dire,,CHIRFIGA,0,CSCOM,,,,,Cluster Nutrition,,-3.328817,16.090465
ML02R01C001,KOULIKORO,KOULIKORO,ML02R01,CHOLA,ML02R01C001,CSCOM,20-May-1996,11,70,NON,OMS Survey,,-7.58008,13.38297
ML08H03U004,BAMAKO,COMMUNE3,ML08H03,CHU CNOS,ML08H03U004,Hôpital,10-Feb-1986,0,0,,OMS Survey,,-8.00353,12.6367
ML08H03U002,BAMAKO,COMMUNE3,ML08H03,CHU Gabriel TOURE,ML08H03U002,Hôpital,17-Jan-1959,0,0,,OMS Survey,,-7.99438,12.65117
ML08H03U001,BAMAKO,COMMUNE3,ML08H03,CHU Point G,ML08H03U001,Hôpital,1-Jan-1906,0,0,,OMS Survey,,-7.99982,12.66992
ML04R01C004,SEGOU,SEGOU,ML04R01,CINZANA,ML04R01C004,CSCOM,1-Jan-2004,21,40,OUI,OMS Survey,,-5.9641269,13.2490401
ML04R06C003,SEGOU,NIONO,ML04R06,COCODY,ML04R06C003,CSCOM,14-Jan-1994,11,60,NON,OMS Survey,,-6.16097,14.46989
,BAMAKO,COMMUNE1,,CS CATHOLIQUE,0,CSCOM,,,,,Cluster Nutrition,,,
,BAMAKO,COMMUNE1,,CS CHERIFLA,0,CSCOM,,,,,Cluster Nutrition,,,
,KAYES,Kita,,CS SAINT FELIX,0,CSCOM,,,,,Cluster Nutrition,,,
ML04R06C004,SEGOU,NIONO,ML04R06,CSCOM K2,ML04R06C004,CSCOM,1-Jun-2011,30,75,OUI,OMS Survey,,-5.95015,14.80022139
ML08R01C000,BAMAKO,COMMUNE1,ML08R01,CSREF COMMUNE1,ML08R01C000,CSRef,7-Feb-1981,0,10,,OMS Survey,,-7.94806,12.6567
ML08R02C000,BAMAKO,COMMUNE2,ML08R02,CSREF COMMUNE2,ML08R02C000,CSRef,1-Jan-2011,0,2,,OMS Survey,,-7.98638,12.64613
ML08R03C000,BAMAKO,COMMUNE3,ML08R03,CSREF COMMUNE3,ML08R03C000,CSRef,18-Aug-1978,0,3,,OMS Survey,,-8.01344,12.64448
ML08R04C000,BAMAKO,COMMUNE4,ML08R04,CSREF COMMUNE4,ML08R04C000,CSRef,1-Jun-2002,0,6,,OMS Survey,,-8.033473611,12.61689056
ML08R05C000,BAMAKO,COMMUNE5,ML08R05,CSREF COMMUNE5,ML08R05C000,CSRef,1-Mar-1993,0,3,,OMS Survey,,-7.97853,12.60219
ML08R06C000,BAMAKO,COMMUNE6,ML08R06,CSREF COMMUNE6,ML08R06C000,CSRef,7-Feb-1981,0,12,,OMS Survey,,-7.94127,12.60405
ML02R06C011,KOULIKORO,KATI,ML02R06,DABAN,ML02R06C011,CSCOM,15-Sep-2005,9,1,OUI,OMS Survey,,-8.309397653,13.21920422
ML01R04C002,KAYES,KENIEBA,ML01R04,DABIA,ML01R04C002,CSCOM,1-May-1996,6,30,NON,OMS Survey,,-11.13666691,12.66781847
ML01R05C008,KAYES,KITA,ML01R05,DAFELA,ML01R05C008,CSCOM,1-Mar-2011,10,15,OUI,OMS Survey,,-9.398674279,12.96782885
ML01R01C007,KAYES,KAYES,ML01R01,DAGASSENOU,ML01R01C007,CSCOM,24-Sep-2002,1,90,NON,OMS Survey,,-12.01384978,14.28590147
ML04R07C003,SEGOU,SAN,ML04R07,DAH,ML04R07C003,CSCOM,7-May-2003,23,30,NON,OMS Survey,,-4.946117899,13.14919222
ML05R05C003,MOPTI,DOUENTZA,ML05R05,DALLAH,ML05R05C003,CSCOM,10-Oct-1995,9,35,OUI,OMS Survey,,-2.640277897,15.10527797
ML03R01C003,SIKASSO,SIKASSO,ML03R01,DALLE,ML03R01C003,CSCOM,8-Sep-2009,19,30,OUI,OMS Survey,,-5.530012775,11.04735935
ML02R02C004,KOULIKORO,BANAMBA,ML02R02,DAMPHA DIARISSO,ML02R02C004,CSCOM,23-Mar-2009,10,82,OUI,OMS Survey,,-7.48123,14.13415
ML03R01C004,SIKASSO,SIKASSO,ML03R01,DANDERESSO,ML03R01C004,CSCOM,24-Mar-1996,12,32,NON,OMS Survey,,-5.482504275,11.48453147
ML02R04C003,KOULIKORO,FANA,ML02R04,DANDOUGOU,ML02R04C003,CSCOM,15-Jul-1998,10,60,OUI,OMS Survey,,-6.497777901,12.56027797
ML02R09C004,KOULIKORO,OUELESSEBOUGOU,ML02R09,DANGASSA,ML02R09C004,CSCOM,1-Mar-2005,7,60,OUI,OMS Survey,,-8.12627,12.19114
ML05R06C005,MOPTI,KORO,ML05R06,DANGATENE,ML05R06C005,CSCOM,1-Jan-2004,16,25,OUI,OMS Survey,,-2.93846,14.1553
ML06R02C003,TOMBOUCTOU,DIRE,ML06R02,DANGHA,ML06R02C003,CSCOM,1-Jun-2004,13,45,NON,OMS Survey,,-3.132061773,16.45956048
,TOMBOUCTOU,Niafunke,,DARI (NF),0,CSCOM,,,,,Cluster Nutrition,3 villages,,
ML04R01C005,SEGOU,SEGOU,ML04R01,DARSALAM,ML04R01C005,CSCOM,1-Jan-2000,1,1,OUI,OMS Survey,,-6.260062675,13.44284099
,KAYES,KENIEBA,,DARSALAM ,0,CSCOM,,,,,Cluster Nutrition,,-11.284153,12.118056
ML01R05C009,KAYES,KITA,ML01R05,DARSALAM-KITA,ML01R05C009,CSCOM,1-Feb-2005,3,1,OUI,OMS Survey,,-9.489375206,13.03949479
ML05R02C004,MOPTI,BANDIAGARA,ML05R02,DE,ML05R02C004,CSCOM,1-May-1998,11,92,OUI,OMS Survey,,-3.260345773,14.77677047
,MOPTI,YOUWAROU,ML05R08,DEBARE,0,CSCOM,,,,,Cluster Nutrition,,-4.014091,15.224512
ML03R02C008,SIKASSO,BOUGOUNI,ML03R02,DEBELIN,ML03R02C008,CSCOM,1-Sep-1997,10,75,OUI,OMS Survey,,-6.990713151,11.5524061
ML01R03C002,KAYES,DIEMA,ML01R03,DEBOMASSASSI,ML01R03C002,CSCOM,1-Apr-2001,8,22,NON,OMS Survey,,-9.39486,14.59703
ML03R02C009,SIKASSO,BOUGOUNI,ML03R02,DEFINA,ML03R02C009,CSCOM,1-Jun-2008,125,8,OUI,OMS Survey,,-7.151679026,11.0078736
ML02R03C003,KOULIKORO,DIOILA,ML02R03,DEGNEKORO,ML02R03C003,CSCOM,13-Jun-2006,9,30,OUI,OMS Survey,,-6.664941026,12.35162322
ML03R01C005,SIKASSO,SIKASSO,ML03R01,DEMBELLA,ML03R01C005,CSCOM,15-Mar-1995,14,112,NON,OMS Survey,,-6.363926276,11.72448257
ML01R02C004,KAYES,OUSSOUBIDIAGNA,ML01R02,DEMEKE,ML01R02C004,CSCOM,1-Apr-2008,3,120,OUI,OMS Survey,,-10.51157,14.19138
ML05R03C005,MOPTI,BANKASS,ML05R03,DI0BAL,ML05R03C005,CSCOM,9-Sep-1991,16,12,OUI,OMS Survey,,-3.618476898,14.02647822
ML05R07C001,MOPTI,TENENKOU,ML05R07,DIA,ML05R07C001,CSCOM,1-Aug-1996,18,15,NON,OMS Survey,,-4.955589649,14.34565647
,KAYES,NIORO,,DIABAGUELA,0,CSCOM,,,,,Cluster Nutrition,,-9.017505,15.042607
ML04R06C005,SEGOU,NIONO,ML04R06,DIABALY,ML04R06C005,CSCOM,14-May-1994,28,30,NON,OMS Survey,,-6.0219579,14.6855371
ML01R04C003,KAYES,KENIEBA,ML01R04,DIABAROU,ML01R04C003,CSCOM,1-Jul-2009,5,36,OUI,OMS Survey,,-11.09235778,12.62590448
,KAYES,NIORO,,DIABIDIALA,0,CSCOM,,,,,Cluster Nutrition,,-9.508864,14.753349
ML01R06C003,KAYES,NIORO,ML01R06,DIABIGUE,ML01R06C003,CSCOM,1-Jan-2000,14,35,NON,OMS Survey,,-9.319638653,15.1524966
ML05R07C002,MOPTI,TENENKOU,ML05R07,DIAFARABE,ML05R07C002,CSCOM,1-Feb-1995,13,45,OUI,OMS Survey,,-5.020555524,14.13833335
ML02R06C012,KOULIKORO,KATI,ML02R06,DIAGO,ML02R06C012,CSCOM,1-Jan-2007,4,10,OUI,OMS Survey,,-8.156389277,12.7775001
ML03R05C002,SIKASSO,KOLONDIEBA,ML03R05,DIAKA,ML03R05C002,CSCOM,1-Aug-1995,13,47,OUI,OMS Survey,,-7.134289651,11.16077835
ML01R02C005,KAYES,BAFOULABE,ML01R02,DIAKABA,ML01R02C005,CSCOM,25-Feb-2002,4,69,OUI,OMS Survey,,-10.4511,13.44208
ML01R02C006,KAYES,BAFOULABE,ML01R02,DIAKITELA,ML01R02C006,CSCOM,1-Dec-2011,6,53,NON,OMS Survey,,-10.89717,13.92102
ML04R06C006,SEGOU,NIONO,ML04R06,DIAKIWERE,ML04R06C006,CSCOM,22-Jan-1996,19,0,OUI,OMS Survey,,-6.14725,14.55665
ML01R02C007,KAYES,OUSSOUBIDIAGNA,ML01R02,DIAKON,ML01R02C007,CSCOM,1-Feb-1997,5,150,OUI,OMS Survey,,-10.25090778,14.47153097
ML04R07C004,SEGOU,SAN,ML04R07,DIAKOUROUNA,ML04R07C004,CSCOM,12-Aug-2002,21,95,OUI,OMS Survey,,-5.1413934,12.86734472
ML01R01C008,KAYES,KAYES,ML01R01,DIALA KHASSO,ML01R01C008,CSCOM,17-Feb-2010,8,7,OUI,OMS Survey,,-11.40511,14.57225
ML01R04C004,KAYES,KENIEBA,ML01R04,DIALAFARA-KENIEBA,ML01R04C004,CSCOM,1-Apr-1997,7,85,NON,OMS Survey,,-11.37929253,13.45809347
ML01R07C003,KAYES,YELIMANE,ML01R07,DIALAKA,ML01R07C003,CSCOM,25-Dec-2010,1,,,OMS Survey,,-10.81083,14.63556
ML02R09C005,KOULIKORO,OUELESSEBOUGOU,ML02R09,DIALAKOROBA,ML02R09C005,CSCOM,24-Oct-2004,13,45,NON,OMS Survey,,-7.927394402,12.25976285
,KOULIKORO,Kati,,DIALAKOROBOUGOU,0,CSCOM,,,,,Cluster Nutrition,2 villages ,,
ML02R06C013,KOULIKORO,KATI,ML02R06,DIALAKORODJI,ML02R06C013,CSCOM,19-Feb-2001,10,25,OUI,OMS Survey,,-7.91236,12.70171
ML01R02C008,KAYES,OUSSOUBIDIAGNA,ML01R02,DIALLAN,ML01R02C008,CSCOM,1-May-2005,8,160,NON,OMS Survey,,-10.16244928,14.2035756
ML01R01C009,KAYES,KAYES,ML01R01,DIALLANE,ML01R01C009,CSCOM,1-Apr-2010,2,1,OUI,OMS Survey,,-11.91684,14.51826
ML05R03C003,MOPTI,BANKASS,ML05R03,DIALLASSAGOU (ASACODA),ML05R03C003,CSCOM,28-Jul-1998,20,47,OUI,OMS Survey,,-3.624786148,13.7373806
ML05R03C004,MOPTI,BANKASS,ML05R03,DIALLAYE,ML05R03C004,CSCOM,2-Jan-2011,5,60,OUI,OMS Survey,,-3.523388023,13.65149247
ML05R01C003,MOPTI,MOPTI,ML05R01,DIALLOUBE,ML05R01C003,CSCOM,1-Jan-1996,10,65,NON,OMS Survey,,-4.232015899,15.01361135
ML04R08C002,SEGOU,TOMINIAN,ML04R08,DIAMAKAN,ML04R08C002,CSCOM,27-Aug-2001,10,130,NON,OMS Survey,,-4.145225274,13.63282972
,TOMBOUCTOU,Gourma-Rharous,,DIAMAMOU,0,CSCOM,,,,,Cluster Nutrition,Non localise,,
ML04R05C002,SEGOU,MARKALA,ML04R05,DIAMARABOUGOU,ML04R05C002,CSCOM,1-Jan-2006,15,1,OUI,OMS Survey,,-6.07845515,13.66572997
ML05R01C004,MOPTI,MOPTI,ML05R01,DIAMBACOUROU,ML05R01C004,CSCOM,1-Jan-1997,16,55,OUI,OMS Survey,,-3.975277648,14.82250022
ML01R01C010,KAYES,KAYES,ML01R01,DIAMOU,ML01R01C010,CSCOM,1-Nov-1997,24,55,OUI,OMS Survey,,-11.26132578,14.08576322
ML05R05C004,MOPTI,DOUENTZA,ML05R05,DIAMWELY-MAOUNDE,ML05R05C004,CSCOM,10-Oct-1997,8,15,OUI,OMS Survey,,-2.919722898,14.8713101
ML05R02C005,MOPTI,BANDIAGARA,ML05R02,DIANGASSAGOU,ML05R02C005,CSCOM,1-Mar-2009,27,67,OUI,OMS Survey,,-3.912040648,13.9925346
ML01R03C003,KAYES,DIEMA,ML01R03,DIANGOUNTE CAMARA,ML01R03C003,CSCOM,1-Feb-2003,52,40,NON,OMS Survey,,-9.516043654,14.54096835
ML01R03C004,KAYES,DIEMA,ML01R03,DIANGUIRDE,ML01R03C004,CSCOM,1-Mar-1999,10,25,OUI,OMS Survey,,-9.016634278,14.49149447
ML05R06C006,MOPTI,KORO,ML05R06,DIANKABOU,ML05R06C006,CSCOM,13-Jan-1995,12,65,NON,OMS Survey,,-3.080359023,14.58365235
ML06R05C006,TOMBOUCTOU,NIAFUNKE,ML06R05,DIANKE,ML06R05C006,CSCOM,20-Mar-2000,26,90,OUI,OMS Survey,,-4.642048649,15.7251881
ML01R06C004,KAYES,NIORO,ML01R06,DIANWELY COUNDA,ML01R06C004,CSCOM,1-Jan-2001,6,1,OUI,OMS Survey,,-9.70062,15.12581
ML04R03C005,SEGOU,BLA,ML04R03,DIARAMANA,ML04R03C005,CSCOM,20-Sep-2011,10,75,OUI,OMS Survey,,-5.4067579,12.84127197
,SIKASSO,Selingue,,DIARANI,0,CSCOM,,,,,Cluster Nutrition,,-8.307355,11.280058
ML01R06C005,KAYES,NIORO,ML01R06,DIARRAH,ML01R06C005,CSCOM,1-Jan-2006,6,30,NON,OMS Survey,,-9.319818903,15.31447197
ML01R06C006,KAYES,NIORO,ML01R06,DIAYE KOURA,ML01R06C006,CSCOM,1-Jan-1995,10,65,OUI,OMS Survey,,-9.982500029,15.17777822
ML03R02C010,SIKASSO,BOUGOUNI,ML03R02,DIBAN,ML03R02C010,CSCOM,1-Jun-1995,14,95,,OMS Survey,,-7.294,11.96
ML01R01C011,KAYES,KAYES,ML01R01,DIBOLI,ML01R01C011,CSCOM,1-Sep-2000,8,1,OUI,OMS Survey,,-12.20011603,14.45063685
ML02R07C001,KOULIKORO,KOLOKANI,ML02R07,DIDIENI,ML02R07C001,CSCOM,8-Apr-1996,22,40,OUI,OMS Survey,,-8.088243152,13.87819735
ML02R04C004,KOULIKORO,FANA,ML02R04,DIEBE,ML02R04C004,CSCOM,1-Jan-1999,7,125,OUI,OMS Survey,,-6.346667401,12.20485947
ML04R03C006,SEGOU,BLA,ML04R03,DIEDALA,ML04R03C006,CSCOM,1-Jul-2002,4,21,OUI,OMS Survey,,-5.5967,13.00575
ML03R06C004,SIKASSO,KOUTIALA,ML03R06,DIEDOUGOU,ML03R06C004,CSCOM,1-Nov-2000,4,70,OUI,OMS Survey,,,
ML02R03C004,KOULIKORO,DIOILA,ML02R03,DIEDOUGOU,ML02R03C004,CSCOM,1-Jan-1999,1,0,OUI,OMS Survey,,-6.34598,12.44905
ML04R07C005,SEGOU,SAN,ML04R07,DIELI,ML04R07C005,CSCOM,1-Jan-1999,26,50,OUI,OMS Survey,,-5.112994275,13.04492197
ML01R03C005,KAYES,DIEMA,ML01R03,DIEMA CENT0AL,ML01R03C005,CSCOM,23-Feb-2007,14,2,OUI,OMS Survey,,-9.188843278,14.53862635
