PCode,REGION,DISTRICT,Code_CSREF,STRUCTURE,PCODE2,TYPE,DATE OUVERTURE,NBRE VILLAGE,DISTANCE,ACCESSIBILITE,Source,obs,Longitude,Latitude
ML03R06C001,SIKASSO,KOUTIALA,ML03R06,ASACO LELENI,ML03R06C001,CSCOM,1-Oct-2007,5,5,OUI,OMS Survey,,-5.244722222,12.39083333
ML08R01C001,BAMAKO,COMMUNE1,ML08R01,ASACOBA,ML08R01C001,CSCOM,1-Feb-1989,1,0,OUI,OMS Survey,,-7.95695,12.66199
ML08R05C002,BAMAKO,COMMUNE5,ML08R05,ASACOBADA,ML08R05C002,CSCOM,2-Nov-2009,,500,OUI,OMS Survey,,-7.98115,12.61159
ML08R06C003,BAMAKO,COMMUNE6,ML08R06,ASACOBAFA,ML08R06C003,CSCOM,3-Mar-1992,1,,,OMS Survey,,-7.9491101,12.5831066
ML08R03C001,BAMAKO,COMMUNE3,ML08R03,ASACOBAKON,ML08R03C001,CSCOM,1-Oct-1978,5,52,OUI,OMS Survey,,-8.01557,12.64582
ML08R01C002,BAMAKO,COMMUNE1,ML08R01,ASACOBOUL1,ML08R01C002,CSCOM,1-Jan-1992,3,7,OUI,OMS Survey,,-7.91392,12.66963
ML08R01C003,BAMAKO,COMMUNE1,ML08R01,ASACOBOUL2,ML08R01C003,CSCOM,1-Sep-1992,1,6,OUI,OMS Survey,,-7.9285,12.6684
ML08R06C004,BAMAKO,COMMUNE6,ML08R06,ASACOCY,ML08R06C004,CSCOM,1-Jun-2011,7,4,OUI,OMS Survey,,-7.91553,12.59656
ML08R05C003,BAMAKO,COMMUNE5,ML08R05,ASACODA,ML08R05C003,CSCOM,16-Jul-2010,0,,,OMS Survey,,-7.9775753,12.6008292
ML08R05C004,BAMAKO,COMMUNE5,ML08R05,ASACODA,ML08R05C004,CSCOM,2-Nov-1992,2,2,OUI,OMS Survey,,-7.97758,12.60083
ML08R03C002,BAMAKO,COMMUNE3,ML08R03,ASACODAR,ML08R03C002,CSCOM,1-Jun-1998,1,6,OUI,OMS Survey,,-7.99714,12.64777
ML08R03C003,BAMAKO,COMMUNE3,ML08R03,ASACODES,ML08R03C003,CSCOM,1-Jan-1995,5,4,NON,OMS Survey,,-8.03245,12.66283
ML08R01C004,BAMAKO,COMMUNE1,ML08R01,ASACODJAN,ML08R01C004,CSCOM,1-Sep-2000,1,2,OUI,OMS Survey,,-7.95581,12.68378
ML08R01C005,BAMAKO,COMMUNE1,ML08R01,ASACODJE,ML08R01C005,CSCOM,1-Jan-1994,1,1,OUI,OMS Survey,,-7.93542,12.66418
ML08R04C001,BAMAKO,COMMUNE4,ML08R04,ASACODJENEKA,ML08R04C001,CSCOM,1-Oct-2005,1,4,OUI,OMS Survey,,-8.0169,12.6197
ML08R04C002,BAMAKO,COMMUNE4,ML08R04,ASACODJIP,ML08R04C002,CSCOM,1-Jan-2006,1,5,OUI,OMS Survey,,-8.01971,12.61972
ML08R01C006,BAMAKO,COMMUNE1,ML08R01,ASACODOU,ML08R01C006,CSCOM,3-Nov-1997,7,5,OUI,OMS Survey,,-7.93683,12.68965
ML08R03C004,BAMAKO,COMMUNE3,ML08R03,ASACODRAB,ML08R03C004,CSCOM,1-May-2029,2,1,OUI,OMS Survey,,-8.00457,12.63026
,BAMAKO,COMMUNE6,,ASACOFA,0,CSCOM,,,,,Cluster Nutrition,,,
,BAMAKO,COMMUNE6,,ASACOFA II,0,CSCOM,,,,,Cluster Nutrition,,,
,BAMAKO,COMMUNE1,,ASACOFADI,0,CSCOM,,,,,Cluster Nutrition,,,
ML08R05C005,BAMAKO,COMMUNE5,ML08R05,ASACOGA,ML08R05C005,CSCOM,2-May-1994,1,10,OUI,OMS Survey,,-7.99439,12.56036
ML03R02C001,SIKASSO,BOUGOUNI,ML03R02,ASACOGA I,ML03R02C001,CSCOM,1-Mar-1997,30,60,OUI,OMS Survey,,-7.450019452,10.98521652
ML08R02C002,BAMAKO,COMMUNE2,ML08R02,ASACOGO,ML08R02C002,CSCOM,4-Nov-2011,3,0,OUI,OMS Survey,,-8.000190278,12.68359944
ML08R04C003,BAMAKO,COMMUNE4,ML08R04,ASACOHAM,ML08R04C003,CSCOM,1-Jan-2006,1,1,OUI,OMS Survey,,-8.01868,12.63054
ML08R02C003,BAMAKO,COMMUNE2,ML08R02,ASACOHI,ML08R02C003,CSCOM,27-Sep-2003,,1,OUI,OMS Survey,,-7.97206,12.66452
ML02R06C005,KOULIKORO,KATI,ML02R06,ASACOKA,ML02R06C005,CSCOM,1-Apr-1994,10,25,OUI,OMS Survey,,-7.840381362,12.51659514
ML08R05C006,BAMAKO,COMMUNE5,ML08R05,ASACOKAL,ML08R05C006,CSCOM,11-Jul-1994,4,3,OUI,OMS Survey,,-7.98531,12.57544
ML08R05C007,BAMAKO,COMMUNE5,ML08R05,ASACOKAL ACI,ML08R05C007,CSCOM,11-Jul-1994,4,3,OUI,OMS Survey,,-7.98329,12.54133
ML08R01C008,BAMAKO,COMMUNE1,ML08R01,ASACOKOSA,ML08R01C008,CSCOM,2-Sep-1996,2,2,OUI,OMS Survey,,-7.94104,12.64869
ML08R03C005,BAMAKO,COMMUNE3,ML08R03,ASACOKOULPOINT,ML08R03C005,CSCOM,1-Jan-2011,3,2,OUI,OMS Survey,,-7.99271,12.66229
ML08R04C004,BAMAKO,COMMUNE4,ML08R04,ASACOLA B5,ML08R04C004,CSCOM,1-Oct-1997,1,2,OUI,OMS Survey,,-8.05006,12.61689
ML08R04C005,BAMAKO,COMMUNE4,ML08R04,ASACOLA I,ML08R04C005,CSCOM,1-Feb-1997,1,1,OUI,OMS Survey,,-8.03341,12.61982
ML08R04C006,BAMAKO,COMMUNE4,ML08R04,ASACOLA II,ML08R04C006,CSCOM,14-Jan-1998,1,1,OUI,OMS Survey,,-8.03348,12.63138
ML08R04C007,BAMAKO,COMMUNE4,ML08R04,ASACOLABASAD,ML08R04C007,CSCOM,1-Jan-2001,1,18,OUI,OMS Survey,,-8.03359,12.65004
ML08R03C006,BAMAKO,COMMUNE3,ML08R03,ASACOM,ML08R03C006,CSCOM,23-Jul-1996,3,1,OUI,OMS Survey,,-7.99496,12.63407
ML08R06C007,BAMAKO,COMMUNE6,ML08R06,ASACOMA I,ML08R06C007,CSCOM,15-Sep-1991,1,2,OUI,OMS Survey,,-7.9569,12.61073
ML08R06C008,BAMAKO,COMMUNE6,ML08R06,ASACOMA II,ML08R06C008,CSCOM,21-Jan-2011,1,3,OUI,OMS Survey,,-7.93513,12.61389
ML08R02C004,BAMAKO,COMMUNE2,ML08R02,ASACOME,ML08R02C004,CSCOM,11-Nov-2001,1,1,OUI,OMS Survey,,-7.9869,12.65183
ML08R06C009,BAMAKO,COMMUNE6,ML08R06,ASACOMIS,ML08R06C009,CSCOM,1-Mar-2003,1,4,OUI,OMS Survey,,-7.91409,12.61788
ML08R01C009,BAMAKO,COMMUNE1,ML08R01,ASACOMSI,ML08R01C009,CSCOM,1-Aug-1993,1,2,OUI,OMS Survey,,-7.97429,12.6737
ML08R06C010,BAMAKO,COMMUNE6,ML08R06,ASACONIA,ML08R06C010,CSCOM,1-Jan-1992,1,3,OUI,OMS Survey,,-7.95593,12.57886
ML08R01C010,BAMAKO,COMMUNE1,ML08R01,ASACONORD,ML08R01C010,CSCOM,1-Feb-2006,1,2,OUI,OMS Survey,,-7.94799,12.66296
ML08R03C007,BAMAKO,COMMUNE3,ML08R03,ASACOOB,ML08R03C007,CSCOM,1-Jan-2005,3,2,OUI,OMS Survey,,-8.00142,12.64181
ML08R05C008,BAMAKO,COMMUNE5,ML08R05,ASACOSAB I,ML08R05C008,CSCOM,2-Nov-1998,1,2,OUI,OMS Survey,,-7.99362,12.58214
ML08R05C009,BAMAKO,COMMUNE5,ML08R05,ASACOSAB II,ML08R05C009,CSCOM,2-Nov-1994,1,2,OUI,OMS Survey,,-8.00083,12.57475
ML08R05C010,BAMAKO,COMMUNE5,ML08R05,ASACOSAB III,ML08R05C010,CSCOM,2-Feb-2011,1,2,OUI,OMS Survey,,-7.99341,12.59458
ML08R06C011,BAMAKO,COMMUNE6,ML08R06,ASACOSE,ML08R06C011,CSCOM,1-Oct-1992,5,27,OUI,OMS Survey,,-7.9474,12.53956
ML08R04C008,BAMAKO,COMMUNE4,ML08R04,ASACOSEK,ML08R04C008,CSCOM,1-Jan-1991,1,5,OUI,OMS Survey,,-8.05016,12.5845
ML08R04C009,BAMAKO,COMMUNE4,ML08R04,ASACOSEKASI,ML08R04C009,CSCOM,27-Jan-2011,1,7,OUI,OMS Survey,,-8.06174,12.56694
ML02R06C006,KOULIKORO,KATI,ML02R06,ASACOSI0E,ML02R06C006,CSCOM,1-Jan-1994,5,40,OUI,OMS Survey,,-7.85851,12.62568
ML08R01C011,BAMAKO,COMMUNE1,ML08R01,ASACOSISOU,ML08R01C011,CSCOM,10-Apr-2010,1,2,OUI,OMS Survey,,-7.96179,12.67081
ML08R06C012,BAMAKO,COMMUNE6,ML08R06,ASACOSO,ML08R06C012,CSCOM,1-Jan-1992,1,1,OUI,OMS Survey,,-7.95794,12.60215
